I_normalized,V_normalized_flux_8Phi0,V_normalized_flux_8p1Phi0,V_normalized_flux_8p2Phi0,V_normalized_flux_8p3Phi0,V_normalized_flux_8p4Phi0,V_normalized_flux_8p5Phi0,V_normalized_flux_8p6Phi0,V_normalized_flux_8p7Phi0,V_normalized_flux_8p8Phi0,V_normalized_flux_8p9Phi0,V_normalized_flux_9Phi0,V_normalized_flux_9p1Phi0,V_normalized_flux_9p2Phi0,V_normalized_flux_9p3Phi0,V_normalized_flux_9p4Phi0,V_normalized_flux_9p5Phi0,V_normalized_flux_9p6Phi0,V_normalized_flux_9p7Phi0,V_normalized_flux_9p8Phi0,V_normalized_flux_9p9Phi0,V_normalized_flux_10Phi0
3.400000000000000244e-01,-1.505060483740430420e-13,5.535031040969686345e+00,6.798992876350106407e+00,6.799683133934609103e+00,6.799871462310120407e+00,6.799907253407202035e+00,6.799883541185216096e+00,6.799729195284904826e+00,6.798955270093243186e+00,5.534788116540181768e+00,-1.596107116194352788e-14,5.533469300195412721e+00,6.798979833843614706e+00,6.799750998746911357e+00,6.799789522763172833e+00,6.799801002201100175e+00,6.799777539344080246e+00,6.799704172138990366e+00,6.799019101530287656e+00,5.535405643703279921e+00,-1.169211354921346491e-13
3.500000000000000333e-01,-8.235748223789212668e-14,5.542391004947323729e+00,6.995708359524554609e+00,6.998565772455759060e+00,6.999087260283047840e+00,6.999201999206598579e+00,6.999079585090150601e+00,6.998544882165946390e+00,6.995705492453140550e+00,5.541914037698655093e+00,1.638368972190468659e-13,5.541143848657293702e+00,6.995741181474446790e+00,6.998587052660607100e+00,6.999091132361455969e+00,6.999206846157823847e+00,6.999096254408716078e+00,6.998609589219071836e+00,6.995745705971557982e+00,5.541594629352189827e+00,9.439298792414352098e-14
3.599999999999999867e-01,-1.323967538616784910e-13,5.539125848550009223e+00,7.197915879984637222e+00,7.199466981800693333e+00,7.199639198854054456e+00,7.199647123625254608e+00,7.199616870397210100e+00,7.199493066018668230e+00,7.197899525710423241e+00,5.544565906736241168e+00,-2.342728040726129125e-13,5.539045513018870714e+00,7.198069715624675347e+00,7.199390467543604011e+00,7.199670284954016175e+00,7.199749001561356110e+00,7.199689281837441612e+00,7.199365413751568354e+00,7.198086423097977082e+00,5.544991345598767829e+00,-1.118164461151725495e-13
3.699999999999999956e-01,2.856347769875105347e-13,5.549500579697549618e+00,7.398769949966310655e+00,7.399746612177678706e+00,7.399775599184711616e+00,7.399799972874558485e+00,7.399765419950413481e+00,7.399740048120115432e+00,7.398732706551299998e+00,5.548968681363179556e+00,-2.232202446905283089e-13,5.549563726002128661e+00,7.398768772206089750e+00,7.399651463729443712e+00,7.399879190695252795e+00,7.399903231471769871e+00,7.399880912839420510e+00,7.399660326073080441e+00,7.398803123477094346e+00,5.548974939307999676e+00,3.217493346254800100e-13
3.800000000000000044e-01,8.471076706159196890e-14,5.553160231096245347e+00,7.593493241760235435e+00,7.597935754724172597e+00,7.598290193119726865e+00,7.598885799366913218e+00,7.598351321976680950e+00,7.597925218591413454e+00,7.593460147866783139e+00,5.552250126405020580e+00,2.342460820737384867e-14,5.554325466664880473e+00,7.593399311760235193e+00,7.597958075789613019e+00,7.598287697582568612e+00,7.598859738461296587e+00,7.598334116183945497e+00,7.597967722879801045e+00,7.593431243752518434e+00,5.551332838134512393e+00,8.937629539945057541e-15
3.900000000000000133e-01,-4.125423721735555375e-13,5.552133982339542584e+00,7.797865324608869386e+00,7.799416814014322519e+00,7.799759740014225784e+00,7.799675680079063866e+00,7.799725665562822208e+00,7.799443308804934638e+00,7.797838690100859615e+00,5.552207305241359414e+00,2.930882675602632840e-13,5.553992383670270705e+00,7.797981896980449079e+00,7.799584707698135055e+00,7.799647457957220809e+00,7.799823609278279335e+00,7.799677512626625564e+00,7.799558021623336224e+00,7.798015585210462675e+00,5.551878326893453064e+00,-4.020290135800674972e-13
4.000000000000000222e-01,1.944624538489401658e-13,5.557637319698391920e+00,7.998407427412105974e+00,7.999667641116035455e+00,7.999813710574071202e+00,7.999843514847482240e+00,7.999813805521842625e+00,7.999667146053972999e+00,7.998409472188968472e+00,5.557633976976445567e+00,-3.703207871977520023e-13,5.560946272101511489e+00,7.998398910273835760e+00,7.999668840702041095e+00,7.999814175821608586e+00,7.999843084019819806e+00,7.999814159780729739e+00,7.999669352754328777e+00,7.998394545883734885e+00,5.555240669088359340e+00,1.159626714279289931e-13
4.100000000000000311e-01,6.688453153341190341e-13,5.560452463296089221e+00,8.187406277561121826e+00,8.195954676394576310e+00,8.197454785843994784e+00,8.197750896366185813e+00,8.197490903893605463e+00,8.196016492490629801e+00,8.187406471898652782e+00,5.559050593718806610e+00,-4.408497431225255847e-13,5.556952890582860682e+00,8.187429762622681295e+00,8.195925796084519988e+00,8.197408154461950147e+00,8.197739448683009300e+00,8.197368983864622649e+00,8.195864123386011002e+00,8.187430075959630571e+00,5.561852409270810149e+00,6.973869133245004090e-13
4.199999999999999845e-01,1.088718587838036513e-13,5.564809937639372706e+00,8.397727521287915664e+00,8.399539168502862196e+00,8.399730616213329171e+00,8.399810126642009322e+00,8.399733890359382116e+00,8.399539230937406842e+00,8.397727618648401560e+00,5.563407288136152040e+00,2.767276994255187311e-13,5.561476988053321691e+00,8.397728489219947079e+00,8.399578923487254656e+00,8.399779594179351605e+00,8.399775376381303005e+00,8.399777563181539008e+00,8.399578828783605289e+00,8.397728423166125111e+00,5.565815344774880380e+00,7.139026845066451099e-14
4.299999999999999933e-01,-8.439490543780968513e-13,5.561159692938371535e+00,8.597752723993197677e+00,8.599556045107226154e+00,8.599751266690306650e+00,8.599880961734088558e+00,8.599782764311335370e+00,8.599592595026503972e+00,8.597693298289337704e+00,5.562505218805620544e+00,1.001743849033174631e-12,5.562736953785861083e+00,8.597683240530946236e+00,8.599663694901861888e+00,8.599829924605371545e+00,8.599765123402045575e+00,8.599798068827347208e+00,8.599626468423936743e+00,8.597741102365036525e+00,5.562099038661121320e+00,-6.837573799387179010e-13
